Agency,State,Total Agency Size (Bytes),Total Agency Size (GiB),Total Agency Size (GB),Total Agency Size (TiB),,,
metronashvilleda,,846727143383553,788576.1032,846727.1434,770.09385,,,
cityofholland.com,Michigan,315325324094749,293669.5927,315325.3241,286.78671,,,
co.liberty.tx.us,TX,301671132543947,280953.1359,301671.1325,274.3683,,,
twp.freehold.nj.us,NJ,279081534320426,259914.9331,279081.5343,253.82318,,,
sheriff1.douglas.ga.us,GA,278795997993289,259649.0066,278795.998,253.56348,,,
adamssheriff.org,CO,277194800320247,258157.7751,277194.8003,252.1072,,,
shelbyvillepd.tn.us,TN,274801044008256,255928.4158,274801.044,249.93009,,,
d4fd4667f33b998cbcd3355235c39204 (Agency not Matched),,192670590744418,179438.4706,192670.5907,175.23288,,Total size taken up [PiB]: ,9.70
boardmantwp.com,OH,179086531328105,166787.3294,179086.5313,162.87825,,,
cityofgraham.com,NC,170791394114470,159061.8809,170791.3941,155.33387,,Agency size chart:,
dawsoncountyso.ga.us,GA,159528118092133,148572.1377,159528.1181,145.08998,,,
laytoncity.org,UT,153681966460237,143127.4847,153681.9665,139.77293,,,
lonokecosd.ar.us,AR,148454036454076,138258.5954,148454.0365,135.01816,,,
co.rock.wi.us,WI,134411888943497,125180.8265,134411.8889,122.2469,,,
salempd.or.us,OR,132537270654109,123434.9521,132537.2707,120.54195,,,
montclairnjusa.org,NJ,124145187570876,115619.2157,124145.1876,112.90939,,,
taneycounty.org,MO,117130477626285,109086.258,117130.4776,106.52955,,,
vanburencountymi.gov,MI,115077401262912,107174.1816,115077.4013,104.66229,,,
cranfordpd.nj.us,NJ,114779828451530,106897.0454,114779.8285,104.39165,,,
sbso.org,Louisiana,112124913342993,104424.463,112124.9133,101.97701,,,
fraserpd.mi.us,MI,105311476494787,98078.95543,105311.4765,95.78023,,,
washingtontwnpd.nj.us,NJ,102517745230521,95477.09043,102517.7452,93.23935,,,
kennesaw-ga.gov,Georgia,98427141768125,91667.41908,98427.14177,89.51896,,,
www.copley.oh.us,OH,94685773945494,88182.99877,94685.77395,86.11621,,,
shorelinecity.com,MI,93919338671563,87469.2003,93919.33867,85.41914,,,
