MonthEnd,DepartmentName,DatabaseName,SerialNumber
03/31/2026,"17th Judicial Circuit, AL",17JDLCTAL,BWL7-035526
03/31/2026,"17th Judicial Circuit, AL",17JDLCTAL,M500-016180
03/31/2026,"24th Judicial District Drug Task Force, TN",24THDTFTN,BWL7-007678
03/31/2026,"24th Judicial District Drug Task Force, TN",24THDTFTN,BWL7-007722
03/31/2026,"24th Judicial District Drug Task Force, TN",24THDTFTN,M500-018253
03/31/2026,"24th Judicial District Drug Task Force, TN",24THDTFTN,M500-018363
03/31/2026,"24th Judicial District Drug Task Force, TN",24THDTFTN,M500-020457
03/31/2026,"Aberdeen PD, NC",ABDNPDNC,BWC2-079886
03/31/2026,"Aberdeen PD, NC",ABDNPDNC,BWC2-092872
03/31/2026,"Aberdeen PD, NC",ABDNPDNC,BWC2-125439
03/31/2026,"Aberdeen PD, NC",ABDNPDNC,BWC2-125493
03/31/2026,"Aberdeen PD, NC",ABDNPDNC,BWC2-130229
03/31/2026,"Aberdeen PD, NC",ABDNPDNC,BWC2-133524
03/31/2026,"Aberdeen PD, NC",ABDNPDNC,BWC2-133594
03/31/2026,"Aberdeen PD, NC",ABDNPDNC,BWC2-133595
03/31/2026,"Aberdeen PD, NC",ABDNPDNC,BWC2-133644
03/31/2026,"Aberdeen PD, NC",ABDNPDNC,BWC2-133645
03/31/2026,"Aberdeen PD, NC",ABDNPDNC,BWC2-133650
03/31/2026,"Aberdeen PD, NC",ABDNPDNC,BWC2-133678
03/31/2026,"Aberdeen PD, NC",ABDNPDNC,BWC2-133717
03/31/2026,"Aberdeen PD, NC",ABDNPDNC,BWC2-143136
03/31/2026,"Aberdeen PD, NC",ABDNPDNC,BWC2-153382
03/31/2026,"Aberdeen PD, NC",ABDNPDNC,BWL7-085602
03/31/2026,"Aberdeen PD, NC",ABDNPDNC,BWL7-091468
03/31/2026,"Aberdeen PD, NC",ABDNPDNC,BWL7-097476
03/31/2026,"Aberdeen PD, NC",ABDNPDNC,BWL7-097545
03/31/2026,"Aberdeen PD, NC",ABDNPDNC,BWL7-097642
