Category,Product Number,Product Name,Apc Code,Business,Subbusiness,Technology,Subtechnology,GF DUP List Price
Current DEMS Storage Items,SSV00S05159A,COMMANDCENTRAL DEMS FIXED STORAGE PER TB,696,RSD-SI,PSV,SI,VAAS,20
,SSV00S05160A,COMMANDCENTRAL DEMS UNLIMITED STORAGE PER BODYWORN CAMERA,696,RSD-SI,PSV,SI,VAAS,17
,SSV00S05161A,COMMANDCENTRAL DEMS UNLIMITED STORAGE PER IN-CAR VIDEO CAMERA,696,RSD-SI,PSV,SI,VAAS,17
,SSV00S05162A,COMMANDCENTRAL DEMS UNLIMITED STORAGE PER INTERVIEW CAMERA,696,RSD-SI,PSV,SI,VAAS,78
,SSV00S05163A,COMMANDCENTRAL DEMS UNLIMITED STORAGE 3RD PARTY,696,RSD-SI,PSV,SI,VAAS,26
,SSV00S05535A,COMMANDCENTRAL DEMS FIXED 3RD PARTY STORAGE PER TB,696,RSD-SI,PSV,SI,VAAS,20
Previous CC Evidence Storage Items,SSV00S02783A,COMMANDCENTRAL CLOUD STORAGE GB,616,RSD,PSV,SERVICE,SERVICE,0.06
,SSV00S02784A,UNLIMITED BODY WORN CAMERA STORAGE,616,RSD,PSV,SERVICE,SERVICE,32
,SSV00S02785A,COMMANDCENTRAL UNLIMITED CAR STORAGE,616,RSD,PSV,SERVICE,SERVICE,52
,SSV00S03095A,COMMANDCENTRAL EVIDENCE UNLIMITED BODY WORN CAMERA STORAGE VAAS,616,RSD,PSV,SERVICE,SERVICE,1
,SSV00S03096A,COMMANDCENTRAL EVIDENCE UNLIMITED IN CAR STORAGE VAAS,616,RSD,PSV,SERVICE,SERVICE,1
,SSV00S03097A,COMMANDCENTRAL EVIDENCE STORAGE VAAS,616,RSD,PSV,SERVICE,SERVICE,0.06
,SSV00S03210A,UNLIMITED CAR STORAGE - 24 MONTHS RETENTION,616,RSD,PSV,SERVICE,SERVICE,30
VMEL Cloud Licensing & Storage,WGC01001,"VIDEOMANAGER EL CLOUD, SOFTWARE AND HOSTING, UNLIMITED ASSIGNED, ANNUALLY PER DEVICE",696,RSD-SI,PSV,SI,VAAS,51.56
,WGC01001-VAAS,"VIDEOMANAGER EL CLOUD VAAS, UNLIMITED ASSIGNED, ANNUALLY PER DEVICE",696,RSD-SI,PSV,SI,VAAS,"2,925.00"
,WGC01002,"VIDEOMANAGER EL CLOUD, SOFTWARE AND HOSTING, UNLIMITED SHARED, ANNUALLY PER DEVICE",696,RSD-SI,PSV,SI,VAAS,72.4
,WGC01003,"ADDITIONAL DATA STORAGE, LOCAL REDUNDANT, ANNUALLY PER TB",696,RSD-SI,PSV,SI,VAAS,37.5
,WGC01004,"VIDEOMANAGER EL CLOUD, SOFTWARE AND HOSTING, ACTUAL USAGE ASSIGNED, ANNUALLY PER DEVICE",696,RSD-SI,PSV,SI,VAAS,30.73
,WGC01005,"VIDEOMANAGER EL CLOUD, SOFTWARE AND HOSTING, ACTUAL USAGE SHARED, ANNUALLY PER DEVICE",696,RSD-SI,PSV,SI,VAAS,41.15
,WGC01007,"VIDEOMANAGER EL CLOUD, GEO REDUNDANT STORAGE",696,RSD-SI,PSV,SI,VAAS,0.08
,WGC01009,VIDEOMANAGER EL CLOUD STORAGE,696,RSD-SI,PSV,SI,VAAS,0.04
,WGC02001,"VIDEOMANAGER EL CLOUD, ANNUAL UNLIMITED STORAGE PER BODY WORN CAMERA",696,RSD-SI,PSV,SI,VAAS,72.4
,WGC02002,"VIDEOMANAGER EL CLOUD, ANNUAL UNLIMITED STORAGE PER IN-CAR VIDEO SYSTEM WITH 2 CAMERAS",696,RSD-SI,PSV,SI,VAAS,93.23
,WGC02003,"VIDEOMANAGER EL CLOUD, ANNUAL UNLIMITED STORAGE FOR IN-CAR VIDEO SYSTEM PER ADDITIONAL CAMERA",696,RSD-SI,PSV,SI,VAAS,44.27
,WGC02004,"VIDEOMANAGER EL CLOUD, SOFTWARE, HOSTING, STORAGE BILLED FOR ACTUAL USAGE PER BODY WORN CAMERA",696,RSD-SI,PSV,SI,VAAS,30.73
,WGC02005,"VIDEOMANAGER EL CLOUD, SOFTWARE, HOSTING, STORAGE BILLED FOR ACTUAL USAGE PER IN-CAR VIDEO SYSTEM",696,RSD-SI,PSV,SI,VAAS,41.15
Vault Items,HKVN4447A,CC VAULT STORE 1 YR SUB,616,RSD,PSV,SERVICE,SERVICE,450
,HKVN4448A,CC VAULT MANAGE 1 YR SUB,616,RSD,PSV,SERVICE,SERVICE,0
,HKVN4449A,CC VAULT JUDICIAL 1 YR SUB,616,RSD,PSV,SERVICE,SERVICE,240
,HKVN4453A,1 YR VAULT SUBSCRIPTION INCL ALL MODULES,616,RSD,PSV,SERVICE,SERVICE,0
,HKVN4468A,CC VAULT ANNUAL 50 GB STORAGE SUBSCRIPTION,616,RSD,PSV,SERVICE,SERVICE,42
,HKVN4470A,CC-VAULT-DEMSAAS-3 YR SUBSCRIPTION,616,RSD,PSV,SERVICE,SERVICE,"2,340.00"
,HKVN4471A,CC VAULT-3 YR 50 GB STORAGE SUBSCRIPTION,616,RSD,PSV,SERVICE,SERVICE,126
,HKVN4474A,CC VAULT-DEMSAAS SI500,616,RSD,PSV,SERVICE,SERVICE,799
,HKVN4475A,CC VAULT-DEMSAAS 5 YR SUBSCRIPTION,616,RSD,PSV,SERVICE,SERVICE,820
,HKVN4476A,CC VAULT-5 YR 50 GB STORAGE SUBSCRIPTION,616,RSD,PSV,SERVICE,SERVICE,210
,SSV00S00329A,CC VAULT STORE,616,RSD,PSV,SERVICE,SERVICE,0
,SSV00S00330A,CC VAULT MANAGE,616,RSD,PSV,SERVICE,SERVICE,0
